iter	RMSE
0	5320.96045
1	5320.321528
2	5319.698323
3	5319.285735
4	5318.650654
5	5318.240269
6	5317.594281
7	5317.014199
8	5316.287274
9	5315.669868
10	5315.246507
11	5314.617775
12	5313.97939
13	5313.352721
14	5312.973091
15	5312.562803
16	5312.246505
17	5311.939197
18	5311.305254
19	5310.885106
20	5310.088503
21	5309.457274
22	5309.044225
23	5308.402713
24	5307.795549
25	5307.380177
26	5307.068115
27	5306.757589
28	5306.147964
29	5305.734236
30	5305.328792
31	5304.930194
32	5304.532183
33	5303.916304
34	5303.505842
35	5303.198327
36	5302.578381
37	5301.973484
38	5301.542848
39	5300.937138
40	5300.516814
41	5300.169771
42	5299.363082
43	5298.736591
44	5298.111274
45	5297.704048
46	5297.312889
47	5297.017795
48	5296.718118
49	5296.119586
50	5295.498056
51	5294.827419
52	5294.221017
53	5293.832633
54	5293.434865
55	5292.817766
56	5292.430859
57	5292.038339
58	5291.400491
59	5290.643096
60	5290.082366
61	5289.503986
62	5289.118348
63	5288.805471
64	5288.061656
65	5287.476274
66	5286.8991
67	5286.324053
68	5285.935244
69	5285.34239
70	5284.956361
71	5284.571285
72	5284.185712
73	5283.631284
74	5283.057788
75	5282.508334
76	5282.126555
77	5281.838989
78	5281.534483
79	5280.746355
80	5280.38172
81	5280.001585
82	5279.429674
83	5278.859092
84	5278.264195
85	5277.893918
86	5277.268043
87	5276.713983
88	5276.173506
89	5275.623154
90	5275.279736
91	5274.711481
92	5274.366978
93	5273.993402
94	5273.425887
95	5273.053967
96	5272.775275
97	5272.21556
98	5271.642741
99	5271.370839
100	5270.816599
101	5270.445634
102	5269.883292
103	5269.51545
104	5269.148465
105	5268.51516
106	5267.937267
107	5267.584596
108	5267.02305
109	5266.4486
110	5265.887625
111	5265.526421
112	5265.16478
113	5264.854372
114	5264.493115
115	5264.151738
116	5263.600368
117	5263.248523
118	5262.940883
119	5262.372204
120	5261.817689
121	5261.067643
122	5260.722974
123	5260.182166
124	5259.617862
125	5259.047606
126	5258.485163
127	5257.921674
128	5257.569109
129	5257.217172
130	5256.655355
131	5255.950049
