iter	Passed	Remaining
0	258	2067480
1	467	1869532
2	611	1631088
3	763	1526396
4	898	1435973
5	1090	1453209
6	1228	1402553
7	1360	1359507
8	1536	1363936
9	1668	1333125
10	1866	1355549
11	1999	1331194
12	2135	1311781
13	2278	1299887
14	2455	1307156
15	2671	1332875
16	2817	1323033
17	2950	1308445
18	3096	1300646
19	3239	1292677
20	3386	1286732
21	3523	1277865
22	3660	1269619
23	3799	1262578
24	3934	1254967
25	4081	1251743
26	4219	1246101
27	4391	1250238
28	4520	1242603
29	4654	1236476
30	4804	1235120
31	4977	1239362
32	5142	1241526
33	5282	1237664
34	5411	1231546
35	5569	1232025
36	5696	1226050
37	5831	1221823
38	5968	1218382
39	6107	1215455
40	6240	1211422
41	6443	1220944
42	6610	1223212
43	6758	1222003
44	6894	1218837
45	7070	1222614
46	7256	1227835
47	7447	1233862
48	7613	1235325
49	7747	1231910
50	7888	1229491
51	8042	1229326
52	8184	1227196
53	8375	1232491
54	8510	1229343
55	8649	1226980
56	8839	1231728
57	9044	1238512
58	9191	1237180
59	9337	1235644
60	9506	1237273
61	9651	1235706
62	9803	1235040
63	9978	1237307
64	10133	1237067
65	10270	1234657
66	10402	1231732
67	10540	1229553
68	10672	1226740
69	10814	1225173
70	10953	1223226
71	11088	1220919
72	11217	1218083
73	11345	1215150
74	11470	1211997
75	11806	1230947
76	11961	1230782
77	12111	1230054
78	12274	1230732
79	12425	1230076
80	12557	1227684
81	12690	1225436
82	12819	1222812
83	12952	1220641
84	13087	1218642
85	13283	1222400
86	13433	1221812
87	13570	1220149
88	13714	1219078
89	13846	1216958
90	13998	1216600
91	14175	1218476
92	14384	1223033
93	14514	1220763
94	14648	1218925
95	14782	1217103
96	14935	1216832
97	15065	1214802
98	15197	1212851
99	15338	1211729
100	15473	1210124
101	15604	1208240
102	15738	1206635
103	15871	1205026
104	16000	1203099
105	16149	1202668
106	16285	1201302
107	16424	1200180
108	16563	1199141
109	16753	1201699
110	16896	1200840
111	17072	1202399
112	17209	1201151
113	17397	1203504
114	17526	1201718
115	17667	1200778
116	17803	1199550
117	17998	1202226
118	18184	1204287
119	18316	1202781
120	18451	1201492
121	18592	1200591
122	18733	1199703
123	18866	1198344
124	19001	1197082
125	19169	1197946
126	19312	1197225
127	19497	1199118
128	19630	1197787
129	19761	1196320
130	19903	1195598
131	20043	1194699
132	20179	1193602
133	20330	1193435
134	20506	1194721
135	20640	1193524
136	20770	1192096
137	20902	1190837
138	21036	1189705
139	21192	1189831
140	21347	1189868
141	21487	1189102
142	21623	1188073
143	21757	1186976
144	21907	1186783
145	22037	1185508
146	22192	1185585
147	22340	1185247
148	22468	1183880
149	22617	1183653
